yearID,lgID,ERA,DH_Rule_Applied
1946,NL,3.9930835388223973,No
1946,AL,4.0980835291990605,No
1947,NL,4.652088018965412,No
1947,AL,4.193661971830986,No
1948,NL,4.496850944716585,No
1948,AL,4.7868444228491605,No
1949,AL,4.7513024403619415,No
1949,NL,4.5788003484215904,No
1950,NL,4.7085894214175426,No
1950,AL,5.133357657575481,No
1951,NL,4.479827864443249,No
1951,AL,4.653740614540301,No
1952,AL,4.179424481884598,No
1952,NL,4.209594051325454,No
1953,AL,4.48521744371779,No
1953,NL,4.851222846726417,No
1954,NL,4.592408891577197,No
1954,AL,4.216749212066636,No
1955,NL,4.570327436045277,No
1955,AL,4.48177146311971,No
1956,AL,4.695935941985194,No
1956,NL,4.291202169328111,No
1957,NL,4.353311740409474,No
1957,AL,4.214200119832235,No
1958,AL,4.2118105950653115,No
1958,NL,4.423405992079088,No
1959,NL,4.449761631766339,No
1959,AL,4.389667963448837,No
1960,AL,4.396463051520347,No
1960,NL,4.248973352117742,No
1961,NL,4.570737605804111,No
1961,AL,4.580268022181146,No
1962,AL,4.453806407165001,No
1962,NL,4.520496894409938,No
1963,AL,4.0813881571412205,No
1963,NL,3.8223357229564145,No
1964,NL,4.038535689694744,No
1964,AL,4.0686281217926785,No
1965,NL,4.030731407498464,No
1965,AL,3.9542390756109858,No
1966,NL,4.096944151738673,No
1966,AL,3.897419384516307,No
1967,AL,3.6932770231708707,No
1967,NL,3.8375697174727987,No
1968,NL,3.418908793678905,No
1968,AL,3.4210719193770043,No
1969,NL,4.08400751504927,No
1969,AL,4.092934679108741,No
1970,AL,4.1830114059723735,No
1970,NL,4.533684311285537,No
1971,NL,3.91452877334198,No
1971,AL,3.889115934765007,No
1972,NL,3.8927366540980355,No
1972,AL,3.4808550669522225,No
1973,AL,4.301168806284728,Yes
1973,NL,4.15044045303741,No
1974,NL,4.151788266229683,No
1974,AL,4.11401062163298,Yes
1975,NL,4.133216175431224,No
1975,AL,4.31460218830204,Yes
1976,AL,3.994485259040168,Yes
1976,NL,3.989784617734667,No
1977,NL,4.39646017699115,No
1977,AL,4.560077136075949,Yes
1978,NL,4.0198846153846155,No
1978,AL,4.244387502066457,Yes
1979,AL,4.724943894938076,Yes
1979,NL,4.227658760520276,No
1980,AL,4.5155668497417825,Yes
1980,NL,4.031337351917701,No
1981,AL,4.0868768419227814,Yes
1981,NL,3.8946026471093793,No
1982,AL,4.498008359970494,Yes
1982,NL,4.07693330799924,No
1983,NL,4.11986713246664,No
1983,AL,4.516197426162418,Yes
1984,NL,4.077323334736198,No
1984,AL,4.4498520710059175,Yes
1985,AL,4.600326991676575,Yes
1985,NL,4.068232107431711,No
1986,NL,4.170568370442448,No
1986,AL,4.654726942748721,Yes
1987,NL,4.5422061108234075,No
1987,AL,4.9519533893409475,Yes
1988,AL,4.395006687472136,Yes
1988,NL,3.8727355936081764,No
1989,AL,4.340121896833655,Yes
1989,NL,3.938462415877723,No
1990,NL,4.231953820190242,No
1990,AL,4.3460782532578,Yes
1991,NL,4.1175737591779615,No
1991,AL,4.491610244333235,Yes
1992,NL,3.8770523027694184,No
1992,AL,4.339514978601997,Yes
1993,NL,4.521148979524764,No
1993,AL,4.7504903819209785,Yes
1994,NL,4.652751335035988,No
1994,AL,5.268570357703389,Yes
1995,NL,4.650033229951263,No
1995,AL,5.1193257676902535,Yes
1996,AL,5.419978623694812,Yes
1996,NL,4.7122578737246785,No
1997,NL,4.632925765629372,No
1997,AL,4.980262397887614,Yes
1998,AL,5.060048857784234,Yes
1998,NL,4.625086058519793,No
1999,NL,4.994323093769812,No
1999,AL,5.313481653660967,Yes
2000,NL,5.072384937238494,No
2000,AL,5.339854029094881,Yes
2001,NL,4.753073400459385,No
2001,AL,4.903626379062979,Yes
2002,NL,4.497468080502056,No
2002,AL,4.848145209283873,Yes
2003,NL,4.6409109921968525,No
2003,AL,4.922076637824475,Yes
2004,NL,4.689363172902445,No
2004,AL,5.029830106677203,Yes
2005,NL,4.571381060485562,No
2005,AL,4.734588701684837,Yes
2006,NL,4.884902969270001,No
2006,AL,4.938571641568511,Yes
2007,NL,4.795904906655961,No
2007,AL,4.876815065664492,Yes
2008,AL,4.721561969439729,Yes
2008,NL,4.658847938218598,No
2009,NL,4.529871854075272,No
2009,AL,4.815118968935889,Yes
2010,AL,4.463718652619083,Yes
2010,NL,4.397415722226232,No
2011,NL,4.1708828084667005,No
2011,AL,4.453114215283484,Yes
2012,AL,4.427902390929258,Yes
2012,NL,4.305659504991981,No
2013,AL,4.307254883976887,Yes
2013,NL,4.044933020048213,No
2014,AL,4.1501620894244295,Yes
2014,NL,4.005546642218657,No
2015,AL,4.323617534532827,Yes
2015,NL,4.238179306109917,No
2016,AL,4.52103095645736,Yes
2016,NL,4.516731708816028,No
2017,NL,4.679711462877048,No
2017,AL,4.71705294951612,Yes
2018,AL,4.60165892093195,Yes
2018,NL,4.3519126517523095,No
2019,NL,4.74129574526826,No
2019,AL,4.986568723875092,Yes
2020,NL,4.898344026356858,Yes
2020,AL,4.8115948238923645,Yes
2021,AL,4.6965869347989,Yes
2021,NL,4.599949840901609,No
2022,AL,4.264410291298163,Yes
2022,NL,4.434608830364058,Yes
2023,AL,4.633957950349899,Yes
2023,NL,4.737311906274699,Yes
